train.count:78800900|#timestamp:1603523423859
train.count:50334000|#timestamp:1603523423910
train.count:51977700|#timestamp:1603523423962
train.count:48697600|#timestamp:1603523424011
train.count:46723500|#timestamp:1603523424057
train.count:42690900|#timestamp:1603523424099
train.count:43686600|#timestamp:1603523424143
train.count:38714400|#timestamp:1603523424182
train.count:69305800|#timestamp:1603523424252
train.count:43515200|#timestamp:1603523424295
train.count:42063900|#timestamp:1603523424337
train.count:37443200|#timestamp:1603523424375
train.count:35292800|#timestamp:1603523424410
train.count:33046800|#timestamp:1603523424443
train.count:35287300|#timestamp:1603523424478
train.count:36127100|#timestamp:1603523424514
train.count:37706500|#timestamp:1603523424552
train.count:37100600|#timestamp:1603523424589
train.count:34030100|#timestamp:1603523424623
train.count:38165500|#timestamp:1603523424661
train.count:42778100|#timestamp:1603523424704
train.count:52455000|#timestamp:1603523424756
train.count:45384300|#timestamp:1603523424802
train.count:41973500|#timestamp:1603523424844
train.count:39325500|#timestamp:1603523424883
train.count:38072700|#timestamp:1603523424921
train.count:40527800|#timestamp:1603523424962
train.count:42214600|#timestamp:1603523425004
train.count:33652400|#timestamp:1603523425037
train.count:31279900|#timestamp:1603523425069
train.count:34689400|#timestamp:1603523425103
train.count:31958000|#timestamp:1603523425135
train.count:33135200|#timestamp:1603523425168
train.count:27243000|#timestamp:1603523425196
train.count:33311400|#timestamp:1603523425229
train.count:30749900|#timestamp:1603523425260
train.count:29090600|#timestamp:1603523425289
train.count:32354600|#timestamp:1603523425321
train.count:33054900|#timestamp:1603523425354
train.count:33656900|#timestamp:1603523425388
train.count:31389700|#timestamp:1603523425419
train.count:29089900|#timestamp:1603523425449
train.count:29654900|#timestamp:1603523425478
train.count:31030400|#timestamp:1603523425510
train.count:32025600|#timestamp:1603523425542
train.count:29656200|#timestamp:1603523425571
train.count:30978400|#timestamp:1603523425602
train.count:34003300|#timestamp:1603523425636
train.count:31696100|#timestamp:1603523425668
train.count:29660200|#timestamp:1603523425697
train.count:28878100|#timestamp:1603523425726
train.count:32533700|#timestamp:1603523425759
train.count:31976900|#timestamp:1603523425791
train.count:29899400|#timestamp:1603523425821
train.count:74446300|#timestamp:1603523425895
train.count:32696500|#timestamp:1603523425928
train.count:31825800|#timestamp:1603523425960
train.count:29086000|#timestamp:1603523425989
train.count:31215700|#timestamp:1603523426020
train.count:28357600|#timestamp:1603523426048
train.count:30174200|#timestamp:1603523426079
train.count:31357000|#timestamp:1603523426110
train.count:35301000|#timestamp:1603523426145
train.count:35880300|#timestamp:1603523426181
train.count:37553100|#timestamp:1603523426219
train.count:30484000|#timestamp:1603523426249
train.count:28722400|#timestamp:1603523426278
train.count:29365000|#timestamp:1603523426307
train.count:30064300|#timestamp:1603523426338
train.count:30346400|#timestamp:1603523426368
train.count:29376300|#timestamp:1603523426397
train.count:31440200|#timestamp:1603523426429
train.count:31668100|#timestamp:1603523426460
train.count:32273400|#timestamp:1603523426492
train.count:34613800|#timestamp:1603523426527
train.count:30456600|#timestamp:1603523426557
train.count:29259100|#timestamp:1603523426587
train.count:29498000|#timestamp:1603523426616
train.count:30853400|#timestamp:1603523426647
train.count:30137100|#timestamp:1603523426678
train.count:30644700|#timestamp:1603523426708
train.count:29351700|#timestamp:1603523426737
train.count:31471400|#timestamp:1603523426768
train.count:29903600|#timestamp:1603523426799
train.count:34858000|#timestamp:1603523426834
train.count:34742200|#timestamp:1603523426868
train.count:40002000|#timestamp:1603523426908
train.count:39202100|#timestamp:1603523426947
train.count:41522700|#timestamp:1603523426989
train.count:40855300|#timestamp:1603523427030
train.count:44383000|#timestamp:1603523427074
train.count:40456600|#timestamp:1603523427115
train.count:39086100|#timestamp:1603523427154
train.count:34753500|#timestamp:1603523427189
train.count:33896400|#timestamp:1603523427223
train.count:34032600|#timestamp:1603523427257
train.count:35677200|#timestamp:1603523427292
train.count:32645600|#timestamp:1603523427325
train.count:31842400|#timestamp:1603523427357
train.count:32721000|#timestamp:1603523427389
train.count:32846300|#timestamp:1603523427422
train.count:30521200|#timestamp:1603523427453
train.count:34664500|#timestamp:1603523427488
train.count:34634300|#timestamp:1603523427522
train.count:32970900|#timestamp:1603523427555
train.count:32962400|#timestamp:1603523427588
train.count:175153100|#timestamp:1603523427763
train.count:37873100|#timestamp:1603523427801
train.count:33641000|#timestamp:1603523427835
train.count:28903800|#timestamp:1603523427863
