train.count:230879600|#timestamp:1605779550044
train.count:145212900|#timestamp:1605779550190
train.count:123098800|#timestamp:1605779550312
train.count:247173400|#timestamp:1605779550560
train.count:91102300|#timestamp:1605779550652
train.count:75461900|#timestamp:1605779550726
train.count:79421500|#timestamp:1605779550806
train.count:72989600|#timestamp:1605779550879
train.count:63698600|#timestamp:1605779550943
train.count:81915200|#timestamp:1605779551025
train.count:149790900|#timestamp:1605779551174
train.count:129068700|#timestamp:1605779551304
train.count:128994600|#timestamp:1605779551433
train.count:133053900|#timestamp:1605779551565
train.count:90947700|#timestamp:1605779551657
train.count:58740600|#timestamp:1605779551716
train.count:100672200|#timestamp:1605779551816
train.count:83780900|#timestamp:1605779551900
train.count:64565800|#timestamp:1605779551964
train.count:104655700|#timestamp:1605779552069
train.count:78659500|#timestamp:1605779552148
train.count:139385200|#timestamp:1605779552287
train.count:111022700|#timestamp:1605779552398
train.count:68063300|#timestamp:1605779552466
train.count:75530800|#timestamp:1605779552542
train.count:72508100|#timestamp:1605779552614
train.count:62821300|#timestamp:1605779552677
train.count:92400200|#timestamp:1605779552770
train.count:59108400|#timestamp:1605779552829
train.count:57558200|#timestamp:1605779552887
train.count:64756100|#timestamp:1605779552951
train.count:88765000|#timestamp:1605779553040
train.count:63001300|#timestamp:1605779553103
train.count:63235300|#timestamp:1605779553166
train.count:60087800|#timestamp:1605779553226
train.count:58704900|#timestamp:1605779553285
train.count:58363900|#timestamp:1605779553343
train.count:51341800|#timestamp:1605779553394
train.count:62773200|#timestamp:1605779553457
train.count:74291300|#timestamp:1605779553532
train.count:76428600|#timestamp:1605779553608
train.count:55570700|#timestamp:1605779553664
train.count:230353300|#timestamp:1605779553894
train.count:87153800|#timestamp:1605779553981
train.count:57018600|#timestamp:1605779554039
train.count:60337100|#timestamp:1605779554098
train.count:56560500|#timestamp:1605779554155
train.count:89513300|#timestamp:1605779554245
train.count:57046800|#timestamp:1605779554301
train.count:66023800|#timestamp:1605779554367
train.count:59839800|#timestamp:1605779554427
train.count:59608900|#timestamp:1605779554487
train.count:60773400|#timestamp:1605779554548
train.count:53361900|#timestamp:1605779554602
train.count:54122600|#timestamp:1605779554655
train.count:74907200|#timestamp:1605779554730
train.count:65618600|#timestamp:1605779554796
train.count:53625300|#timestamp:1605779554850
train.count:49818600|#timestamp:1605779554900
train.count:64648700|#timestamp:1605779554964
train.count:58708800|#timestamp:1605779555022
train.count:86161500|#timestamp:1605779555109
train.count:62082100|#timestamp:1605779555171
train.count:66897700|#timestamp:1605779555238
train.count:47161300|#timestamp:1605779555285
train.count:56319700|#timestamp:1605779555342
train.count:75937900|#timestamp:1605779555417
train.count:50260800|#timestamp:1605779555467
train.count:52122400|#timestamp:1605779555520
train.count:57539900|#timestamp:1605779555577
train.count:213056300|#timestamp:1605779555790
train.count:100931900|#timestamp:1605779555891
train.count:103178000|#timestamp:1605779555995
train.count:112591500|#timestamp:1605779556107
train.count:81505600|#timestamp:1605779556188
train.count:100609300|#timestamp:1605779556289
train.count:81304200|#timestamp:1605779556371
train.count:65932200|#timestamp:1605779556437
train.count:75457500|#timestamp:1605779556511
train.count:89930500|#timestamp:1605779556602
train.count:105661100|#timestamp:1605779556708
train.count:89144700|#timestamp:1605779556797
train.count:75736200|#timestamp:1605779556872
train.count:79733600|#timestamp:1605779556952
train.count:85845800|#timestamp:1605779557038
train.count:115079100|#timestamp:1605779557153
train.count:175684800|#timestamp:1605779557329
train.count:90693700|#timestamp:1605779557420
train.count:69767800|#timestamp:1605779557489
train.count:81958100|#timestamp:1605779557571
train.count:75847300|#timestamp:1605779557647
train.count:63339600|#timestamp:1605779557711
train.count:69758900|#timestamp:1605779557780
train.count:89587300|#timestamp:1605779557869
train.count:60737100|#timestamp:1605779557930
train.count:165742000|#timestamp:1605779558096
train.count:89040100|#timestamp:1605779558186
train.count:64999700|#timestamp:1605779558250
